,Rows:Columns,Difference,Pecentage difference,Frequency excess columns,Number of excess columns,Average excess
HC2000 - 25 SNP Threshold,1:465,464,0.9978494623655914,1,465,465.0
HC2000 - 10 SNP Threshold,1:958,957,0.9989561586638831,1,958,958.0
HC2000 - 5 SNP Threshold,1:1276,1275,0.9992163009404389,1,1276,1276.0
HC2000 - 0 SNP Threshold,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC2000 - ST,1:2656,2655,0.9996234939759037,1,2656,2656.0
HC2000 - HC0 (indistinguishable),1:2289,2288,0.999563128003495,1,2289,2289.0
HC2000 - HC2,1:1489,1488,0.9993284083277367,1,1489,1489.0
HC2000 - HC5,1:1030,1029,0.9990291262135922,1,1030,1030.0
HC2000 - HC10,1:607,606,0.9983525535420099,1,607,607.0
HC2000 - HC20,1:217,216,0.9953917050691244,1,217,217.0
HC2000 - HC50,1:33,32,0.9696969696969697,1,33,33.0
HC2000 - HC100,1:11,10,0.9090909090909091,1,11,11.0
HC2000 - HC200,1:6,5,0.8333333333333334,1,6,6.0
HC2000 - HC400,1:2,1,0.5,1,2,2.0
HC2000 - HC1100 (cgST Cplx),1:1,0,na,0,0,na
HC2000 - HC1500,1:1,0,na,0,0,na
HC2000 - HC2350 (subsp.),1:1,0,na,0,0,na
HC2350 (subsp.) - Genotype,1:60,59,0.9833333333333333,1,60,60.0
HC2350 (subsp.) - Lineage,1:4,3,0.75,1,4,4.0
HC2350 (subsp.) - Clade,1:10,9,0.9,1,10,10.0
HC2350 (subsp.) - Sub-Clade,1:24,23,0.9583333333333334,1,24,24.0
HC2350 (subsp.) - Sub-sub-Clade,1:3,2,0.6666666666666666,1,3,3.0
HC2350 (subsp.) - Sub-sub-sub-Clade,1:5,4,0.8,1,5,5.0
HC2350 (subsp.) - SNP Address,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC2350 (subsp.) - 250 SNP Threshold,1:7,6,0.8571428571428571,1,7,7.0
HC2350 (subsp.) - 100 SNP Threshold,1:61,60,0.9836065573770492,1,61,61.0
HC2350 (subsp.) - 50 SNP Threshold,1:191,190,0.9947643979057592,1,191,191.0
HC2350 (subsp.) - 25 SNP Threshold,1:465,464,0.9978494623655914,1,465,465.0
HC2350 (subsp.) - 10 SNP Threshold,1:958,957,0.9989561586638831,1,958,958.0
HC2350 (subsp.) - 5 SNP Threshold,1:1276,1275,0.9992163009404389,1,1276,1276.0
HC2350 (subsp.) - 0 SNP Threshold,1:2250,2249,0.9995555555555555,1,2250,2250.0
HC2350 (subsp.) - ST,1:2656,2655,0.9996234939759037,1,2656,2656.0
HC2350 (subsp.) - HC0 (indistinguishable),1:2289,2288,0.999563128003495,1,2289,2289.0
HC2350 (subsp.) - HC2,1:1489,1488,0.9993284083277367,1,1489,1489.0
HC2350 (subsp.) - HC5,1:1030,1029,0.9990291262135922,1,1030,1030.0
HC2350 (subsp.) - HC10,1:607,606,0.9983525535420099,1,607,607.0
HC2350 (subsp.) - HC20,1:217,216,0.9953917050691244,1,217,217.0
HC2350 (subsp.) - HC50,1:33,32,0.9696969696969697,1,33,33.0
HC2350 (subsp.) - HC100,1:11,10,0.9090909090909091,1,11,11.0
HC2350 (subsp.) - HC200,1:6,5,0.8333333333333334,1,6,6.0
HC2350 (subsp.) - HC400,1:2,1,0.5,1,2,2.0
HC2350 (subsp.) - HC1100 (cgST Cplx),1:1,0,na,0,0,na
HC2350 (subsp.) - HC1500,1:1,0,na,0,0,na
HC2350 (subsp.) - HC2000,1:1,0,na,0,0,na
